Size,BestTime_ns,WorstTime_ns,AvgTime_ns,AvgSwaps,AvgComparisons,BigO_ns
1000,2801800.00,5514600.00,3901625.00,993.40,499500.00,3901625.00
2000,11150300.00,21781100.00,13513685.00,1992.10,1999000.00,26137320.00
4000,45949100.00,66687900.00,53038010.00,3990.80,7998000.00,80025480.00
8000,181264600.00,226624100.00,196162175.00,7991.60,31996000.00,271948920.00
16000,729670800.00,839614600.00,756499860.00,15990.40,127992000.00,1007537520.00
32000,2974916200.00,3079537600.00,3018212115.00,31989.10,511984000.00,3695445120.00
64000,11376062300.00,12050362100.00,11571747630.00,63989.05,2047968000.00,14460434520.00
128000,44896522000.00,52000171700.00,45954106760.00,127986.00,8191936000.00,62400206040.00
