Size,BestTime_ns,WorstTime_ns,AvgTime_ns,AvgSwaps,AvgIterations,BigO_ns
1000,2462200.00,4873300.00,2957290.00,250621.30,250627.40,2957290.00
2000,9781600.00,13235800.00,10770055.00,1003836.15,1003842.65,15882960.00
4000,39855800.00,49479700.00,42521895.00,4019093.10,4019099.90,59375640.00
8000,157383500.00,169880300.00,163347685.00,16019265.50,16019274.15,203856360.00
16000,636416400.00,666451500.00,649976820.00,63986641.35,63986649.85,799741800.00
32000,2575759100.00,3717104500.00,2686831240.00,256027566.25,256027575.95,4460525400.00
64000,10306575100.00,10745301100.00,10430527515.00,1024473900.95,1024473911.25,12894361320.00
128000,41494853800.00,152103013400.00,65250342900.00,4098408242.85,4098408254.60,182523616080.00
